epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.739,2.1942,2.47046,1.74865,0.26616,0.28409,0.2113,0.07224,2.34248,2.39275,1.93573,0.000415381,0.000415381,0.000415381
2,212.534,2.13869,2.20088,1.75317,0.28109,0.24601,0.16625,0.05635,2.41036,2.8967,1.98254,0.000819375,0.000819375,0.000819375
3,324.104,2.12992,2.172,1.75449,0.27954,0.36342,0.25722,0.08603,2.27271,2.31549,1.82778,0.00121068,0.00121068,0.00121068
4,430.714,2.09973,2.13587,1.73251,0.33553,0.36096,0.29532,0.10399,2.2102,2.12778,1.77275,0.00119288,0.00119288,0.00119288
5,536.711,2.05723,2.0968,1.69373,0.38251,0.36473,0.30164,0.10403,2.21944,2.17125,1.77738,0.00117385,0.00117385,0.00117385
6,640.571,2.02744,2.04328,1.67983,0.4678,0.38036,0.3429,0.12423,2.12144,2.02665,1.72685,0.00115481,0.00115481,0.00115481
7,744.189,2.00753,2.00809,1.6613,0.37762,0.36885,0.33432,0.12239,2.12121,2.04983,1.72337,0.00113577,0.00113577,0.00113577
8,846.808,1.99241,1.97935,1.64195,0.4452,0.38864,0.35451,0.12934,2.12048,1.95828,1.69546,0.00111673,0.00111673,0.00111673
9,950.434,1.96864,1.96008,1.63144,0.41398,0.39641,0.34422,0.12713,2.10087,1.98336,1.69759,0.00109769,0.00109769,0.00109769
10,1054.1,1.94943,1.93543,1.62261,0.37773,0.41855,0.33695,0.12563,2.10277,1.97804,1.69897,0.00107865,0.00107865,0.00107865
11,1157.28,1.93983,1.9263,1.6182,0.46663,0.39962,0.38138,0.14334,2.0626,1.92464,1.6741,0.00105962,0.00105962,0.00105962
12,1260.5,1.92617,1.88468,1.58994,0.43244,0.39682,0.36118,0.13882,2.06811,1.96379,1.64819,0.00104058,0.00104058,0.00104058
13,1363.77,1.9081,1.86749,1.58218,0.47647,0.38149,0.36731,0.1402,2.06385,1.92502,1.67071,0.00102154,0.00102154,0.00102154
14,1466.73,1.90784,1.8644,1.58181,0.44093,0.39821,0.3744,0.14184,2.05583,1.93251,1.65646,0.0010025,0.0010025,0.0010025
15,1570.3,1.9049,1.84874,1.57773,0.47789,0.4145,0.39413,0.15333,2.01703,1.88988,1.63056,0.000983462,0.000983462,0.000983462
16,1673.47,1.88096,1.83931,1.57195,0.49868,0.39424,0.39493,0.14802,2.06334,1.86891,1.67752,0.000964423,0.000964423,0.000964423
17,1776.29,1.88337,1.82221,1.56616,0.47746,0.41229,0.39211,0.1498,2.037,1.85506,1.64183,0.000945385,0.000945385,0.000945385
18,1879.47,1.86058,1.80175,1.55293,0.48134,0.40358,0.39632,0.15278,2.01252,1.86321,1.61676,0.000926346,0.000926346,0.000926346
19,1983.53,1.86328,1.78598,1.54825,0.4864,0.41784,0.39397,0.15891,2.03844,1.85007,1.64324,0.000907308,0.000907308,0.000907308
20,2086.09,1.85573,1.78798,1.54634,0.57465,0.40666,0.41981,0.16622,2.01667,1.82869,1.63023,0.000888269,0.000888269,0.000888269
21,2189.96,1.84676,1.76153,1.531,0.48826,0.42701,0.41482,0.16216,2.0136,1.8056,1.61423,0.000869231,0.000869231,0.000869231
22,2293.88,1.83465,1.75669,1.52974,0.5083,0.41202,0.40196,0.16305,2.02232,1.81241,1.62341,0.000850192,0.000850192,0.000850192
23,2397.99,1.83793,1.74775,1.53262,0.52194,0.42863,0.41814,0.16729,2.01373,1.80819,1.62025,0.000831154,0.000831154,0.000831154
24,2500.67,1.81674,1.74074,1.52141,0.4926,0.42831,0.42504,0.17449,1.9727,1.79242,1.58861,0.000812115,0.000812115,0.000812115
25,2604.29,1.82228,1.71534,1.5141,0.53844,0.43578,0.4341,0.17479,1.98489,1.76323,1.59349,0.000793077,0.000793077,0.000793077
26,2707.91,1.80747,1.7032,1.50802,0.5061,0.44558,0.43766,0.17681,1.99217,1.75402,1.58764,0.000774038,0.000774038,0.000774038
27,2811.85,1.80949,1.70266,1.50134,0.55768,0.44348,0.4474,0.1837,1.98874,1.74167,1.59346,0.000755,0.000755,0.000755
28,2915.51,1.79268,1.69445,1.50002,0.5457,0.4502,0.44641,0.18448,1.95984,1.75012,1.56995,0.000735962,0.000735962,0.000735962
29,3019.44,1.7798,1.68375,1.49336,0.50299,0.44916,0.43298,0.17958,1.97074,1.73007,1.58172,0.000716923,0.000716923,0.000716923
30,3123.64,1.77197,1.66108,1.48972,0.51234,0.43573,0.43388,0.18061,1.96378,1.74937,1.58002,0.000697885,0.000697885,0.000697885
31,3226.59,1.78668,1.6626,1.4914,0.49044,0.4529,0.44055,0.18419,1.96943,1.72393,1.58722,0.000678846,0.000678846,0.000678846
32,3331.04,1.76721,1.62672,1.47458,0.51668,0.45772,0.44781,0.18664,1.95957,1.73245,1.57042,0.000659808,0.000659808,0.000659808
33,3434.67,1.75275,1.63163,1.4722,0.54156,0.46184,0.45566,0.19052,1.97523,1.68962,1.58475,0.000640769,0.000640769,0.000640769
34,3539.27,1.74748,1.61656,1.46938,0.51656,0.46063,0.45321,0.19185,1.95098,1.69545,1.57142,0.000621731,0.000621731,0.000621731
35,3642.77,1.75467,1.60925,1.46593,0.5314,0.46632,0.45342,0.19217,1.9648,1.69953,1.56484,0.000602692,0.000602692,0.000602692
36,3746.08,1.74466,1.58715,1.4495,0.5119,0.46495,0.45018,0.19124,1.96961,1.69159,1.57115,0.000583654,0.000583654,0.000583654
37,3849.59,1.72961,1.58533,1.46046,0.52969,0.46426,0.4569,0.19394,1.95184,1.67354,1.57326,0.000564615,0.000564615,0.000564615
38,3953.42,1.7284,1.57361,1.44775,0.52814,0.46049,0.45234,0.19775,1.94296,1.65626,1.56581,0.000545577,0.000545577,0.000545577
39,4056.29,1.70558,1.55637,1.43718,0.54299,0.46946,0.4709,0.20001,1.9538,1.65535,1.55895,0.000526538,0.000526538,0.000526538
40,4159.85,1.70514,1.54846,1.43502,0.52725,0.46964,0.45455,0.19618,1.93526,1.67434,1.55323,0.0005075,0.0005075,0.0005075
41,4262.94,1.69979,1.52891,1.42549,0.53404,0.46763,0.46142,0.20021,1.93728,1.65114,1.54242,0.000488462,0.000488462,0.000488462
42,4371.44,1.69104,1.5426,1.43061,0.53466,0.47176,0.46734,0.20229,1.94412,1.64825,1.55796,0.000469423,0.000469423,0.000469423
43,4475.87,1.69054,1.50774,1.4168,0.5428,0.46569,0.47075,0.20402,1.9378,1.64014,1.55218,0.000450385,0.000450385,0.000450385
