epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.559,1.67883,1.54378,1.51058,0.4817,0.44693,0.43544,0.18887,1.96789,1.74486,1.72596,0.000415381,0.000415381,0.000415381
2,350.956,1.7388,1.60981,1.53002,0.50142,0.45804,0.43243,0.18143,2.01449,1.76929,1.74191,0.000808512,0.000808512,0.000808512
3,526.645,1.76429,1.66901,1.5497,0.50694,0.45012,0.42357,0.17286,2.02597,1.80489,1.76262,0.00117807,0.00117807,0.00117807
4,702.852,1.80134,1.72599,1.57233,0.49646,0.42816,0.4218,0.17326,2.01314,1.82541,1.75424,0.00114393,0.00114393,0.00114393
5,878.185,1.79385,1.71337,1.57242,0.48184,0.44909,0.43216,0.17719,2.01024,1.80504,1.73454,0.00110857,0.00110857,0.00110857
6,1053.89,1.77856,1.69709,1.56368,0.48792,0.43932,0.42184,0.17366,1.98303,1.81915,1.74426,0.00107321,0.00107321,0.00107321
7,1229.23,1.77754,1.67502,1.55476,0.47999,0.4511,0.42692,0.17839,1.9971,1.79505,1.73092,0.00103786,0.00103786,0.00103786
8,1404.28,1.75399,1.6665,1.55755,0.54458,0.43495,0.44575,0.18475,1.99161,1.76929,1.74258,0.0010025,0.0010025,0.0010025
9,1578.93,1.75434,1.66829,1.55693,0.5097,0.44882,0.44034,0.18484,1.97734,1.78007,1.7339,0.000967143,0.000967143,0.000967143
10,1754.34,1.73805,1.63585,1.52863,0.53198,0.45303,0.44533,0.18476,1.9785,1.7697,1.72702,0.000931786,0.000931786,0.000931786
11,1932.27,1.73191,1.63045,1.53874,0.50763,0.44282,0.44092,0.18799,1.96321,1.76243,1.71568,0.000896429,0.000896429,0.000896429
12,2109.89,1.73194,1.61997,1.53167,0.51488,0.46427,0.45743,0.19734,1.94934,1.7291,1.69744,0.000861071,0.000861071,0.000861071
13,2288.73,1.73038,1.61587,1.52869,0.54116,0.46328,0.46115,0.19311,1.98461,1.73855,1.72705,0.000825714,0.000825714,0.000825714
14,2464.41,1.71586,1.60552,1.53449,0.50634,0.45652,0.4583,0.19721,1.94698,1.74275,1.70652,0.000790357,0.000790357,0.000790357
15,2640.4,1.69917,1.57351,1.51398,0.51577,0.46932,0.45888,0.20011,1.95524,1.70742,1.70572,0.000755,0.000755,0.000755
16,2818.04,1.68708,1.56593,1.50401,0.54778,0.46944,0.47353,0.20739,1.93673,1.69121,1.69461,0.000719643,0.000719643,0.000719643
17,2994.64,1.67612,1.5568,1.49427,0.53079,0.46119,0.46784,0.20635,1.93399,1.70835,1.69738,0.000684286,0.000684286,0.000684286
18,3170.58,1.65998,1.5264,1.4835,0.55689,0.47179,0.47957,0.21129,1.92211,1.67346,1.68016,0.000648929,0.000648929,0.000648929
19,3347.4,1.66178,1.51856,1.47299,0.55705,0.45911,0.47691,0.21148,1.94081,1.67682,1.69386,0.000613571,0.000613571,0.000613571
20,3524.29,1.64306,1.49615,1.47817,0.54909,0.47905,0.48563,0.21781,1.93271,1.64552,1.68229,0.000578214,0.000578214,0.000578214
21,3703.15,1.64355,1.4872,1.47447,0.52803,0.47201,0.476,0.21239,1.92559,1.67344,1.68427,0.000542857,0.000542857,0.000542857
22,3882.66,1.64798,1.48024,1.46128,0.56136,0.47758,0.48592,0.22008,1.90695,1.64109,1.66619,0.0005075,0.0005075,0.0005075
23,4062.81,1.62878,1.4674,1.4589,0.54512,0.48899,0.48743,0.21896,1.92236,1.63551,1.66672,0.000472143,0.000472143,0.000472143
24,4238.79,1.60613,1.43489,1.43728,0.54757,0.47969,0.49237,0.22497,1.90947,1.62062,1.66345,0.000436786,0.000436786,0.000436786
25,4414.36,1.61114,1.4316,1.44279,0.55218,0.4914,0.49465,0.22681,1.90947,1.62993,1.66368,0.000401429,0.000401429,0.000401429
26,4587.51,1.60877,1.34833,1.47148,0.54374,0.50159,0.49739,0.23111,1.90626,1.59823,1.66298,0.000366071,0.000366071,0.000366071
27,4759.92,1.57107,1.29807,1.43943,0.5537,0.50074,0.5033,0.23219,1.9171,1.59111,1.67847,0.000330714,0.000330714,0.000330714
28,4931.97,1.57075,1.28745,1.4426,0.55831,0.50259,0.50641,0.23612,1.90764,1.57874,1.67085,0.000295357,0.000295357,0.000295357
29,5104.83,1.55281,1.26333,1.42595,0.56316,0.50082,0.51333,0.24065,1.9074,1.56125,1.66804,0.00026,0.00026,0.00026
30,5275.71,1.53953,1.2486,1.42442,0.55478,0.51325,0.50947,0.24081,1.91394,1.5575,1.67232,0.000224643,0.000224643,0.000224643
31,5448.31,1.51692,1.23553,1.41024,0.5545,0.51545,0.51419,0.24593,1.8979,1.54284,1.65785,0.000189286,0.000189286,0.000189286
32,5626.34,1.51039,1.22154,1.40247,0.56107,0.50983,0.51538,0.24758,1.90115,1.55075,1.67042,0.000153929,0.000153929,0.000153929
33,5798.14,1.49458,1.20236,1.39726,0.55499,0.516,0.51703,0.2504,1.89189,1.54621,1.66276,0.000118571,0.000118571,0.000118571
34,5970.4,1.48181,1.19226,1.39132,0.56248,0.51715,0.52144,0.25172,1.89403,1.52974,1.66022,8.32143e-05,8.32143e-05,8.32143e-05
35,6148.12,1.48035,1.17702,1.3856,0.56077,0.52124,0.52296,0.25381,1.89008,1.53271,1.66235,4.78571e-05,4.78571e-05,4.78571e-05
